# Time-averaged data for fix avg_vals
# TimeStep v_zStrainc v_engsszc v_p3 v_engssyc v_p2 v_engssxc v_p1
200000 0.0597497 10.2806 10.6017 -0.00264899 -0.00253679 -0.00348418 -0.00333243
201000 0.0602497 10.3628 10.6885 0.000125455 0.000126947 -0.000266067 -0.000247198
202000 0.0607497 10.4386 10.7691 -0.000443593 -0.000426694 -0.00313483 -0.00299754
203000 0.0612497 10.5082 10.8429 -0.00353086 -0.00338876 -0.00633049 -0.00605461
204000 0.0617497 10.5828 10.9214 0.002032 0.00194249 0.00953201 0.00910751
205000 0.0622497 10.675 11.019 0.00265299 0.00252504 -0.000653847 -0.000635059
206000 0.0627497 10.7634 11.113 -0.00238626 -0.00230325 0.00130388 0.00122349
207000 0.0632497 10.8335 11.187 -0.00132202 -0.00129245 4.39162e-05 1.45101e-05
208000 0.0637497 10.9111 11.2702 -0.00278247 -0.00268112 -0.00104723 -0.00102323
209000 0.0642497 10.9842 11.3476 0.00335817 0.0032085 -0.00548082 -0.0052339
210000 0.0647497 11.0518 11.4191 -0.000400829 -0.000381522 0.00803122 0.00766828
211000 0.0652497 11.1415 11.5149 0.00277385 0.0026426 0.00494394 0.00470681
212000 0.0657497 11.2187 11.5972 -0.00229935 -0.00220477 -0.00607213 -0.00579941
213000 0.0662497 11.2828 11.6652 -0.00280584 -0.00268426 -0.0023734 -0.00227017
214000 0.0667497 11.3609 11.7488 -6.78502e-05 -6.10919e-05 -0.00297178 -0.00282898
215000 0.0672497 11.4363 11.8274 0.00314456 0.00299041 0.00113271 0.0010724
216000 0.0677497 11.5159 11.913 0.000373664 0.000347632 -0.000635912 -0.000611296
217000 0.0682497 11.5846 11.9857 -4.52779e-05 -4.30539e-05 -0.00175759 -0.00166723
218000 0.0687497 11.6579 12.0633 -0.00211952 -0.00200466 -0.00357947 -0.0033863
219000 0.0692497 11.7348 12.1454 -0.00394299 -0.00374484 0.00997793 0.00949308
220000 0.0697497 11.8093 12.2266 0.00205509 0.00196811 0.00040222 0.000393492
221000 0.0702497 11.8757 12.2979 0.00237368 0.00228196 -0.00496171 -0.00469104
222000 0.0707497 11.9435 12.3695 -0.00076575 -0.00072411 -0.00173714 -0.00164304
223000 0.0712497 12.0182 12.4492 -5.3454e-06 -1.17814e-05 0.00513148 0.00486639
224000 0.0717497 12.0871 12.5226 0.00035598 0.000332865 0.00122512 0.00115755
225000 0.0722497 12.1623 12.6038 0.000363182 0.00034152 -0.000656817 -0.0006254
226000 0.0727497 12.2268 12.6725 -0.000175199 -0.000165223 -0.00781456 -0.00741362
227000 0.0732497 12.301 12.7505 -0.00124143 -0.00117633 0.00373086 0.00354146
228000 0.0737497 12.3734 12.8284 0.000443736 0.000425007 1.98068e-05 2.37462e-05
229000 0.0742497 12.4361 12.8959 -0.00445482 -0.00422277 0.00172906 0.001639
230000 0.0747497 12.5041 12.9684 0.00689928 0.00652088 0.00191532 0.00179744
231000 0.0752497 12.5853 13.0551 -0.00240926 -0.00228996 0.00327373 0.00309177
232000 0.0757497 12.656 13.131 -0.000522744 -0.000502641 -0.00873446 -0.00827524
233000 0.0762497 12.726 13.2061 0.00220897 0.00208899 0.0029127 0.0027568
234000 0.0767497 12.7784 13.2623 -0.00382414 -0.0036271 0.00102897 0.000967121
235000 0.0772497 12.8648 13.3549 0.00263762 0.00246938 -0.000496771 -0.000495481
236000 0.0777497 12.9208 13.4135 -0.000250304 -0.000258869 0.000412651 0.000370358
237000 0.0782497 12.9966 13.4964 0.000237466 0.000206557 -0.00266564 -0.00253708
238000 0.0787497 13.0683 13.5722 0.00300313 0.00282362 0.0032199 0.00303152
239000 0.0792497 13.1294 13.6379 -0.00585977 -0.00553795 -0.000807673 -0.000766814
240000 0.0797497 13.1929 13.7065 -0.00104115 -0.000998392 -0.000272227 -0.000273303
241000 0.0802497 13.2661 13.7846 -0.00682586 -0.00645778 -0.00255607 -0.00242896
242000 0.0807497 13.3406 13.8637 0.00802854 0.0075614 0.000341062 0.000308503
243000 0.0812497 13.4055 13.9332 0.000845586 0.000786825 -0.00387086 -0.00365602
244000 0.0817497 13.4649 13.9971 -0.00414204 -0.00391752 0.000986472 0.000916871
245000 0.0822497 13.5313 14.0675 0.00373029 0.00349454 0.00586029 0.00549963
246000 0.0827497 13.5858 14.1265 -0.00438822 -0.00413185 0.000828121 0.000779422
247000 0.0832497 13.6551 14.2022 0.00481692 0.00453744 -0.000408715 -0.000383636
248000 0.0837497 13.7203 14.272 -0.00443488 -0.00416168 -0.00193903 -0.00181179
249000 0.0842497 13.7716 14.3257 0.00404593 0.00382067 -0.00470493 -0.00441127
250000 0.0847497 13.8374 14.3968 0.00640132 0.00604474 -0.00596953 -0.00558026
251000 0.0852497 13.9076 14.472 -0.00791866 -0.00742111 0.00539092 0.00509347
252000 0.0857497 13.9602 14.5284 -0.000783996 -0.000699123 0.00468402 0.00443455
253000 0.0862497 14.0355 14.61 0.00861819 0.00811045 -0.00279874 -0.0026073
254000 0.0867497 14.0826 14.6617 -0.00553823 -0.00517679 -0.000680037 -0.000616913
255000 0.0872497 14.1439 14.7269 0.000717717 0.000700099 -0.000471295 -0.000416283
256000 0.0877497 14.2203 14.8096 -0.00812828 -0.00762396 0.00473075 0.00444341
257000 0.0882497 14.2776 14.8718 0.00542732 0.00508713 -0.00303893 -0.00285431
258000 0.0887497 14.3339 14.9311 0.00179211 0.00169102 0.00406509 0.0038158
259000 0.0892497 14.3814 14.9821 -0.00207801 -0.00194298 0.00128344 0.00120758
260000 0.0897497 14.4341 15.0385 0.00116169 0.00108181 -0.00269525 -0.00252841
261000 0.0902497 14.5091 15.1203 -0.00366101 -0.00343413 -0.00289486 -0.00271832
262000 0.0907497 14.564 15.18 0.00250145 0.00236511 -0.00213416 -0.00197167
263000 0.0912497 14.6196 15.239 -0.00524354 -0.00486248 0.00552559 0.0052123
264000 0.0917497 14.6711 15.2925 0.00151054 0.00141304 0.000325761 0.000302325
265000 0.0922497 14.7246 15.3515 0.00202298 0.00189837 -0.00268784 -0.00250538
266000 0.0927497 14.7865 15.4188 -0.000637896 -0.000599007 -0.00305519 -0.00285606
267000 0.0932497 14.849 15.4852 0.00553363 0.00518926 0.00442059 0.00414162
268000 0.0937497 14.8891 15.5306 -0.0126381 -0.0117817 0.00351584 0.00330799
269000 0.0942497 14.9474 15.5919 -0.00228612 -0.00210122 -0.00219648 -0.00201914
270000 0.0947497 14.98 15.627 0.0033419 0.00317111 -0.00900226 -0.00834721
271000 0.0952497 15.0295 15.6792 0.00855818 0.00798849 0.000803753 0.000756749
272000 0.0957497 15.0756 15.7294 -0.00174986 -0.00163279 0.00309033 0.00288106
273000 0.0962497 15.1216 15.7798 -0.00383332 -0.00358113 0.00786869 0.00732257
274000 0.0967497 15.1498 15.8102 0.00236502 0.00220412 -0.00146731 -0.00136785
275000 0.0972497 15.214 15.8802 0.00487108 0.0045323 -0.00239644 -0.00223541
276000 0.0977497 15.2628 15.934 -0.000991898 -0.000927247 -0.00444682 -0.00414255
277000 0.0982497 15.3014 15.975 -0.00221357 -0.00205193 -0.000707685 -0.000649923
278000 0.0987497 15.3302 16.0065 0.0055455 0.00516651 -0.00142075 -0.00130969
279000 0.0992497 15.389 16.0699 -0.00761113 -0.00706967 0.00208336 0.00194355
280000 0.0997497 15.4271 16.1103 -0.00812684 -0.00753364 0.0017318 0.00162442
281000 0.10025 15.4735 16.1594 0.00777008 0.00724073 -0.00305392 -0.00281295
